depth_m,n,profiles,rmse_c,bias_c,correlation
0.0,1,1,,,
5.0,7,7,0.36586124873337533,0.08292243867856339,0.6193725322424198
10.0,8,8,0.26230445915504874,0.02569377552743779,0.8733009694540567
20.0,8,8,0.18345558867323236,-0.047840775476702735,0.9234163257986037
30.0,9,9,0.41762252037638,0.11971307027557604,0.5787694408916432
50.0,9,9,0.3167874209859886,0.03497820914071662,0.2304597564811292
75.0,9,9,1.4231234968257558,0.47668861125566564,0.8982625865212208
100.0,9,9,1.570274169509795,1.0664202301113734,0.8133705908601547
125.0,9,9,1.0860024986550747,0.44939997366239365,0.7937357692993142
150.0,9,9,0.5739999239965127,0.18820089672997004,0.8857892404872864
200.0,9,9,0.38398813697499407,0.34506899581572426,0.9646139774971592
300.0,9,9,0.15218987560679642,0.10516122535742983,0.8840845290781978
500.0,9,9,0.20607403685766146,0.10193298207293072,0.5723192648414253
700.0,9,9,0.13037908624605218,0.0003899258166302704,0.7362655995134668
1000.0,0,0,,,
