date,platform,latitude,longitude,n_depths,rmse_c,bias_c
2020-01-27,b'2902283                         ',15.12,86.473,13,0.37960886057521226,0.17181394094568342
2020-01-28,b'2902230                         ',12.51667,85.58333,14,0.47384692283263896,0.10775719340439986
2020-01-29,b'2901898                         ',10.7938,89.9029,13,0.3182084670227808,0.010450432959229872
2020-01-29,b'2902285                         ',14.146,84.479,13,1.0576102140036192,0.6140486553303405
2020-01-29,b'2902233                         ',14.51667,86.65,13,0.44033263775160103,0.30185373437662927
2020-01-29,b'2902234                         ',14.33333,84.66667,13,1.5724538662334637,0.9615469647634272
2020-01-30,b'2902264                         ',12.73884,88.60552,12,0.4594164917393814,-0.10470766895758639
2020-01-30,b'2902294                         ',8.25481,89.12597,10,0.35864858923529425,-0.003079314796309163
2020-01-30,b'2902236                         ',16.68333,83.98333,13,0.3170263084173406,9.93392234957578e-05
