date,platform,latitude,longitude,depth_m,argo_temperature,oceanembed_temperature,error
2020-01-27,b'2902283                         ',15.12,86.473,5.0,26.891351506724114,26.727380752563477,-0.163970754160637
2020-01-27,b'2902283                         ',15.12,86.473,10.0,26.802101219807387,27.082847595214844,0.28074637540745684
2020-01-27,b'2902283                         ',15.12,86.473,20.0,26.689632474996706,26.968217849731445,0.2785853747347389
2020-01-27,b'2902283                         ',15.12,86.473,30.0,26.64976263203088,27.542280197143555,0.8925175651126764
2020-01-27,b'2902283                         ',15.12,86.473,50.0,27.332535531430857,27.596166610717773,0.26363107928691676
2020-01-27,b'2902283                         ',15.12,86.473,75.0,27.335526591438782,26.84810447692871,-0.4874221145100712
2020-01-27,b'2902283                         ',15.12,86.473,100.0,23.556485181185593,24.251482009887695,0.6949968287021022
2020-01-27,b'2902283                         ',15.12,86.473,125.0,20.766030520683795,20.66410255432129,-0.10192796636250634
2020-01-27,b'2902283                         ',15.12,86.473,150.0,18.10081051133993,18.0982608795166,-0.0025496318233280135
2020-01-27,b'2902283                         ',15.12,86.473,200.0,14.767520419279709,14.984432220458984,0.21691180117927544
2020-01-27,b'2902283                         ',15.12,86.473,300.0,11.942037176530388,12.078527450561523,0.13649027403113578
2020-01-27,b'2902283                         ',15.12,86.473,500.0,10.107315153626699,10.250228881835938,0.14291372820923876
2020-01-27,b'2902283                         ',15.12,86.473,700.0,8.692680454100028,8.775339126586914,0.08265867248688608
2020-01-28,b'2902230                         ',12.51667,85.58333,0.0,27.24799919128418,27.85201644897461,0.6040172576904297
2020-01-28,b'2902230                         ',12.51667,85.58333,5.0,27.232428068202225,27.97213363647461,0.7397055682723845
2020-01-28,b'2902230                         ',12.51667,85.58333,10.0,27.30463814400235,27.35849952697754,0.05386138297518883
2020-01-28,b'2902230                         ',12.51667,85.58333,20.0,27.890225508473126,27.73598289489746,-0.15424261357566493
2020-01-28,b'2902230                         ',12.51667,85.58333,30.0,27.932956040932613,27.9134578704834,-0.019498170449214314
2020-01-28,b'2902230                         ',12.51667,85.58333,50.0,27.92300033569336,27.888418197631836,-0.03458213806152344
2020-01-28,b'2902230                         ',12.51667,85.58333,75.0,27.80339248834057,27.000686645507812,-0.8027058428327578
2020-01-28,b'2902230                         ',12.51667,85.58333,100.0,22.666441758492756,23.726184844970703,1.0597430864779476
2020-01-28,b'2902230                         ',12.51667,85.58333,125.0,20.269802210738213,20.314393997192383,0.044591786454169835
2020-01-28,b'2902230                         ',12.51667,85.58333,150.0,18.0185779203047,17.676843643188477,-0.34173427711622395
2020-01-28,b'2902230                         ',12.51667,85.58333,200.0,13.8912482700097,14.419602394104004,0.528354124094303
2020-01-28,b'2902230                         ',12.51667,85.58333,300.0,11.631400455853818,11.658953666687012,0.02755321083319373
2020-01-28,b'2902230                         ',12.51667,85.58333,500.0,9.862213199387442,9.858281135559082,-0.003932063828360199
2020-01-28,b'2902230                         ',12.51667,85.58333,700.0,8.514828653199032,8.322298049926758,-0.19253060327227445
2020-01-29,b'2901898                         ',10.7938,89.9029,5.0,28.124029145095644,27.78224754333496,-0.3417816017606832
2020-01-29,b'2901898                         ',10.7938,89.9029,10.0,28.12117234181461,27.788232803344727,-0.33293953846988344
2020-01-29,b'2901898                         ',10.7938,89.9029,20.0,28.123885210855725,28.02826690673828,-0.0956183041174441
2020-01-29,b'2901898                         ',10.7938,89.9029,30.0,28.126346609050827,27.891733169555664,-0.23461343949516333
2020-01-29,b'2901898                         ',10.7938,89.9029,50.0,27.516621324878916,27.87118911743164,0.3545677925527251
2020-01-29,b'2901898                         ',10.7938,89.9029,75.0,26.502881663322768,26.142040252685547,-0.36084141063722086
2020-01-29,b'2901898                         ',10.7938,89.9029,100.0,21.32610749233564,21.899930953979492,0.5738234616438511
2020-01-29,b'2901898                         ',10.7938,89.9029,125.0,18.231252887684093,18.618547439575195,0.3872945518911024
2020-01-29,b'2901898                         ',10.7938,89.9029,150.0,15.749946127515232,16.153139114379883,0.4031929868646511
2020-01-29,b'2901898                         ',10.7938,89.9029,200.0,13.46319711869324,13.683609008789062,0.22041189009582318
2020-01-29,b'2901898                         ',10.7938,89.9029,300.0,11.522397434133675,11.470345497131348,-0.05205193700232691
2020-01-29,b'2901898                         ',10.7938,89.9029,500.0,10.057704615513504,9.841496467590332,-0.21620814792317233
2020-01-29,b'2901898                         ',10.7938,89.9029,700.0,8.537432204102934,8.368051528930664,-0.1693806751722704
2020-01-29,b'2902285                         ',14.146,84.479,5.0,27.15167850882517,26.9630184173584,-0.18866009146677243
2020-01-29,b'2902285                         ',14.146,84.479,10.0,27.27383593285696,27.148019790649414,-0.12581614220754744
2020-01-29,b'2902285                         ',14.146,84.479,20.0,27.248741262157026,27.2374267578125,-0.011314504344525744
2020-01-29,b'2902285                         ',14.146,84.479,30.0,27.226092253794317,27.23652458190918,0.010432328114863054
2020-01-29,b'2902285                         ',14.146,84.479,50.0,27.253824203144895,27.35013198852539,0.09630778538049611
2020-01-29,b'2902285                         ',14.146,84.479,75.0,22.048159696382307,24.7134952545166,2.665335558134295
2020-01-29,b'2902285                         ',14.146,84.479,100.0,18.985201452078833,20.907699584960938,1.9224981328821045
2020-01-29,b'2902285                         ',14.146,84.479,125.0,16.561291581772863,18.181997299194336,1.6207057174214725
2020-01-29,b'2902285                         ',14.146,84.479,150.0,15.004554024468012,15.754953384399414,0.7503993599314018
2020-01-29,b'2902285                         ',14.146,84.479,200.0,12.897849949893631,13.439713478088379,0.5418635281947477
2020-01-29,b'2902285                         ',14.146,84.479,300.0,11.170390242172791,11.411715507507324,0.2413252653345328
2020-01-29,b'2902285                         ',14.146,84.479,500.0,9.502589533695176,9.860486030578613,0.3578964968834377
2020-01-29,b'2902285                         ',14.146,84.479,700.0,8.179572795152067,8.281231880187988,0.10165908503592114
2020-01-29,b'2902233                         ',14.51667,86.65,5.0,26.743142161495133,27.18152618408203,0.4383840225868987
2020-01-29,b'2902233                         ',14.51667,86.65,10.0,26.72388733350707,27.270408630371094,0.5465212968640252
2020-01-29,b'2902233                         ',14.51667,86.65,20.0,27.409358803551772,27.220718383789062,-0.1886404197627094
2020-01-29,b'2902233                         ',14.51667,86.65,30.0,27.060375526106746,27.702133178710938,0.6417576526041913
2020-01-29,b'2902233                         ',14.51667,86.65,50.0,27.661140419937098,27.725252151489258,0.06411173155215977
2020-01-29,b'2902233                         ',14.51667,86.65,75.0,26.840033489323194,26.729555130004883,-0.11047835931831074
2020-01-29,b'2902233                         ',14.51667,86.65,100.0,22.840638051480237,23.706241607666016,0.8656035561857784
2020-01-29,b'2902233                         ',14.51667,86.65,125.0,19.360568669495866,20.178255081176758,0.8176864116808922
2020-01-29,b'2902233                         ',14.51667,86.65,150.0,17.226394106760356,17.385631561279297,0.15923745451894078
2020-01-29,b'2902233                         ',14.51667,86.65,200.0,14.445288632412124,14.668789863586426,0.22350123117430165
2020-01-29,b'2902233                         ',14.51667,86.65,300.0,11.734740925657931,11.900337219238281,0.1655962935803501
2020-01-29,b'2902233                         ',14.51667,86.65,500.0,10.012898225210698,10.155271530151367,0.14237330494066924
2020-01-29,b'2902233                         ',14.51667,86.65,700.0,8.573664699535225,8.732109069824219,0.1584443702889935
2020-01-29,b'2902234                         ',14.33333,84.66667,5.0,27.20767012725344,27.173418045043945,-0.034252082209494716
2020-01-29,b'2902234                         ',14.33333,84.66667,10.0,27.199482124096487,27.141944885253906,-0.05753723884258122
2020-01-29,b'2902234                         ',14.33333,84.66667,20.0,27.178909891018545,27.347379684448242,0.16846979342969703
2020-01-29,b'2902234                         ',14.33333,84.66667,30.0,27.133256706262657,27.432003021240234,0.29874631497757775
2020-01-29,b'2902234                         ',14.33333,84.66667,50.0,27.109683944098833,27.53277587890625,0.4230919348074167
2020-01-29,b'2902234                         ',14.33333,84.66667,75.0,22.847918403636626,25.6830997467041,2.8351813430674753
2020-01-29,b'2902234                         ',14.33333,84.66667,100.0,17.933905863678813,21.875070571899414,3.941164708220601
2020-01-29,b'2902234                         ',14.33333,84.66667,125.0,16.231136538554537,18.783382415771484,2.552245877216947
2020-01-29,b'2902234                         ',14.33333,84.66667,150.0,15.235955608576917,16.313528060913086,1.0775724523361685
2020-01-29,b'2902234                         ',14.33333,84.66667,200.0,13.034366232920098,13.670341491699219,0.635975258779121
2020-01-29,b'2902234                         ',14.33333,84.66667,300.0,11.309946738669078,11.503386497497559,0.19343975882848063
2020-01-29,b'2902234                         ',14.33333,84.66667,500.0,9.484264494351127,9.869260787963867,0.38499629361274046
